jour,debut,fin,nb_suspensions,votes_par_consentement,votes_par_mise_aux_voix,amendements_adoptes,amendements_rejetes,nb_intervenants,nb_interventions_secretaire,nb_interventions_fonctionnaire,nb_interventions_ministre,nb_interventions_gouvernement,nb_interventions_opposition,nb_interventions_presidence,nb_interventions_PLQ,nb_interventions_QS,nb_interventions_PQ
3,,11:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11:30,11:40,0,0,2,0,0,20,1,0,6,0,5,8,5,0,0
3,11:40,11:50,0,0,0,0,0,7,0,0,2,1,1,3,1,0,0
3,11:50,12:00,0,1,1,0,1,30,4,1,8,1,9,7,9,0,0
3,12:00,12:01,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0
3,12:01,12:10,0,0,1,1,0,45,4,1,13,3,10,14,10,0,0
3,12:10,12:20,0,1,1,0,0,21,3,0,4,0,7,7,7,0,0
3,12:20,12:30,0,0,1,0,2,19,5,0,4,2,5,3,5,0,0
3,12:30,12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12:30,12:40,0,0,1,0,0,25,4,0,9,1,8,3,8,0,0
3,12:40,12:50,0,0,1,0,0,31,0,1,13,0,14,3,14,0,0
3,12:50,12:54,1,0,0,0,0,38,5,0,10,1,9,13,1,0,8
3,12:54,12:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12:58,12:59,1,0,0,0,0,3,0,0,0,0,1,2,0,0,1
3,12:59,14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14:00,14:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14:06,14:07,1,0,0,0,0,3,0,0,0,0,1,2,0,0,1
3,14:07,14:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14:11,14:20,0,0,2,1,0,46,10,3,8,2,14,9,9,0,5
3,14:20,14:30,0,0,1,0,0,54,4,0,22,1,23,4,23,0,0
3,14:30,14:30,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3,14:30,14:40,0,0,0,0,0,27,0,1,13,0,13,0,13,0,0
3,14:40,14:50,0,0,0,0,0,37,0,0,18,0,19,0,19,0,0
3,14:50,15:00,0,0,1,0,0,27,5,0,9,1,9,3,8,1,0
3,15:00,15:10,0,0,0,0,0,24,0,4,9,0,11,0,9,2,0
3,15:10,15:20,1,0,0,0,0,29,0,1,7,0,19,2,2,17,0
3,15:20,15:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,15:28,15:30,0,0,0,0,0,6,0,0,0,0,3,3,3,0,0
3,15:30,15:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,15:30,15:40,0,0,0,0,0,4,0,0,2,0,1,1,1,0,0
3,15:40,15:50,0,0,1,0,1,26,5,0,7,1,10,3,9,1,0
3,15:50,16:00,0,0,1,0,0,39,5,7,8,1,12,6,7,5,0
3,16:00,16:10,0,0,1,0,0,66,4,6,23,1,27,5,27,0,0
3,16:10,16:20,0,0,0,0,0,24,0,4,9,0,8,3,8,0,0
3,16:20,16:30,0,0,1,1,0,46,4,0,19,1,18,4,18,0,0
3,16:30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
